0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.003,0.026,0.157,0.801,0.000,0.000,0.001,0.003,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.002,0.011,0.037,0.099,0.224,0.454,0.003,0.014,0.031,0.051,0.054,0.002,0.005,0.007,0.005,0.000,0.001,0.000,0.000,0.000,0.000
0.003,0.013,0.033,0.071,0.131,0.221,0.022,0.050,0.077,0.090,0.072,0.045,0.051,0.042,0.021,0.030,0.015,0.005,0.006,0.001,0.000
0.000,0.002,0.011,0.028,0.058,0.106,0.005,0.033,0.055,0.070,0.056,0.059,0.082,0.060,0.028,0.165,0.037,0.015,0.111,0.002,0.011
0.000,0.000,0.002,0.009,0.026,0.053,0.000,0.006,0.031,0.038,0.037,0.006,0.078,0.035,0.028,0.109,0.073,0.017,0.330,0.003,0.111
0.000,0.000,0.000,0.006,0.010,0.028,0.000,0.001,0.019,0.012,0.026,0.000,0.014,0.037,0.021,0.016,0.179,0.001,0.242,0.012,0.365
0.001,0.000,0.002,0.003,0.001,0.018,0.002,0.001,0.000,0.016,0.017,0.003,0.000,0.093,0.002,0.011,0.171,0.006,0.042,0.000,0.601
0.004,0.012,0.000,0.008,0.005,0.014,0.008,0.002,0.006,0.049,0.002,0.015,0.001,0.095,0.003,0.025,0.052,0.005,0.001,0.021,0.662
0.000,0.019,0.042,0.001,0.037,0.003,0.011,0.028,0.001,0.066,0.002,0.015,0.015,0.024,0.004,0.037,0.001,0.000,0.024,0.076,0.583
0.000,0.002,0.061,0.052,0.021,0.002,0.002,0.055,0.021,0.061,0.011,0.019,0.016,0.002,0.001,0.027,0.019,0.010,0.037,0.107,0.460
0.000,0.000,0.016,0.127,0.005,0.004,0.000,0.023,0.101,0.007,0.039,0.010,0.051,0.004,0.014,0.007,0.027,0.056,0.055,0.105,0.333
0.000,0.000,0.000,0.097,0.073,0.001,0.001,0.005,0.088,0.031,0.067,0.000,0.075,0.000,0.004,0.029,0.000,0.103,0.049,0.146,0.212
0.004,0.001,0.003,0.050,0.110,0.032,0.001,0.001,0.031,0.137,0.055,0.007,0.036,0.039,0.002,0.051,0.001,0.072,0.000,0.192,0.156
0.001,0.010,0.004,0.027,0.078,0.108,0.018,0.001,0.021,0.203,0.016,0.001,0.001,0.126,0.012,0.000,0.021,0.017,0.009,0.132,0.175
0.000,0.010,0.001,0.043,0.049,0.200,0.012,0.010,0.003,0.147,0.001,0.021,0.009,0.127,0.020,0.008,0.077,0.001,0.001,0.043,0.198
0.000,0.001,0.020,0.013,0.028,0.297,0.001,0.051,0.000,0.025,0.007,0.048,0.005,0.117,0.006,0.000,0.158,0.000,0.043,0.003,0.151
0.000,0.000,0.016,0.000,0.000,0.339,0.001,0.054,0.004,0.012,0.014,0.029,0.011,0.123,0.003,0.027,0.174,0.002,0.092,0.006,0.067
0.003,0.001,0.006,0.005,0.047,0.262,0.000,0.010,0.020,0.031,0.074,0.004,0.047,0.124,0.045,0.091,0.103,0.001,0.059,0.027,0.015
0.001,0.004,0.010,0.066,0.009,0.179,0.001,0.004,0.055,0.024,0.220,0.004,0.076,0.056,0.092,0.072,0.029,0.000,0.013,0.054,0.001
0.000,0.018,0.002,0.048,0.024,0.192,0.013,0.002,0.065,0.009,0.282,0.000,0.089,0.001,0.105,0.060,0.003,0.004,0.001,0.053,0.000
0.000,0.006,0.007,0.005,0.089,0.311,0.008,0.000,0.008,0.001,0.207,0.001,0.048,0.018,0.060,0.115,0.027,0.012,0.015,0.028,0.000
0.000,0.002,0.022,0.000,0.039,0.471,0.000,0.036,0.000,0.005,0.099,0.008,0.018,0.036,0.020,0.050,0.025,0.009,0.078,0.031,0.015
0.002,0.000,0.045,0.000,0.002,0.528,0.000,0.059,0.000,0.026,0.042,0.023,0.001,0.056,0.007,0.003,0.050,0.005,0.033,0.035,0.061
0.002,0.001,0.005,0.030,0.041,0.438,0.000,0.032,0.002,0.084,0.018,0.019,0.006,0.130,0.001,0.003,0.072,0.001,0.002,0.001,0.076
0.000,0.003,0.001,0.026,0.089,0.292,0.006,0.005,0.016,0.152,0.003,0.017,0.001,0.209,0.001,0.004,0.044,0.006,0.025,0.019,0.046
0.000,0.016,0.001,0.034,0.148,0.139,0.014,0.004,0.042,0.143,0.002,0.000,0.043,0.111,0.004,0.040,0.041,0.052,0.003,0.102,0.027
0.000,0.004,0.007,0.124,0.099,0.038,0.006,0.000,0.088,0.104,0.005,0.000,0.039,0.031,0.001,0.049,0.031,0.075,0.069,0.142,0.051
0.001,0.000,0.000,0.143,0.007,0.009,0.003,0.009,0.123,0.041,0.018,0.008,0.031,0.022,0.003,0.002,0.040,0.070,0.173,0.095,0.160
0.003,0.000,0.015,0.046,0.002,0.008,0.000,0.055,0.039,0.002,0.037,0.036,0.018,0.022,0.001,0.004,0.082,0.046,0.122,0.073,0.348
0.000,0.000,0.043,0.002,0.000,0.013,0.000,0.050,0.002,0.006,0.033,0.009,0.006,0.001,0.004,0.028,0.053,0.010,0.072,0.084,0.546
0.000,0.008,0.022,0.006,0.020,0.007,0.007,0.014,0.003,0.011,0.008,0.001,0.001,0.025,0.003,0.012,0.003,0.002,0.023,0.069,0.716
0.000,0.013,0.001,0.002,0.037,0.000,0.013,0.002,0.000,0.006,0.001,0.007,0.000,0.033,0.000,0.003,0.037,0.010,0.004,0.035,0.750
0.000,0.008,0.001,0.023,0.004,0.004,0.000,0.003,0.003,0.000,0.015,0.009,0.011,0.017,0.007,0.028,0.129,0.001,0.102,0.014,0.580
0.003,0.000,0.000,0.002,0.022,0.000,0.001,0.000,0.030,0.000,0.005,0.001,0.094,0.025,0.034,0.099,0.123,0.011,0.159,0.006,0.335
0.001,0.001,0.017,0.009,0.048,0.003,0.000,0.027,0.054,0.073,0.005,0.005,0.103,0.049,0.048,0.167,0.061,0.030,0.076,0.004,0.168
0.000,0.000,0.008,0.056,0.129,0.039,0.000,0.059,0.051,0.173,0.024,0.059,0.048,0.061,0.022,0.053,0.025,0.021,0.016,0.001,0.100
0.000,0.012,0.007,0.050,0.265,0.169,0.009,0.023,0.041,0.161,0.039,0.031,0.006,0.037,0.002,0.003,0.002,0.003,0.025,0.001,0.064
0.000,0.005,0.012,0.014,0.246,0.442,0.017,0.004,0.002,0.072,0.025,0.001,0.001,0.016,0.006,0.003,0.005,0.000,0.044,0.008,0.026
0.003,0.003,0.009,0.001,0.050,0.728,0.003,0.004,0.001,0.006,0.007,0.002,0.002,0.019,0.009,0.004,0.056,0.000,0.022,0.008,0.005
0.001,0.001,0.012,0.013,0.004,0.777,0.000,0.002,0.003,0.001,0.005,0.000,0.000,0.035,0.002,0.001,0.066,0.003,0.020,0.000,0.000
0.000,0.000,0.002,0.107,0.075,0.602,0.002,0.005,0.037,0.006,0.018,0.002,0.003,0.013,0.014,0.000,0.014,0.004,0.033,0.002,0.005
0.000,0.000,0.055,0.103,0.050,0.427,0.001,0.040,0.072,0.010,0.042,0.004,0.040,0.000,0.042,0.015,0.001,0.008,0.008,0.000,0.021
0.000,0.017,0.036,0.028,0.037,0.308,0.008,0.035,0.058,0.002,0.068,0.023,0.106,0.012,0.036,0.086,0.027,0.009,0.023,0.001,0.018
0.002,0.010,0.002,0.030,0.023,0.221,0.006,0.011,0.016,0.004,0.104,0.017,0.059,0.006,0.024,0.103,0.059,0.001,0.241,0.000,0.002
0.002,0.001,0.003,0.013,0.005,0.174,0.005,0.003,0.016,0.024,0.094,0.010,0.005,0.023,0.026,0.008,0.068,0.005,0.345,0.015,0.087
0.000,0.000,0.001,0.001,0.007,0.147,0.000,0.006,0.000,0.040,0.053,0.020,0.000,0.109,0.012,0.001,0.100,0.006,0.110,0.034,0.287
0.000,0.000,0.003,0.007,0.035,0.103,0.001,0.000,0.007,0.085,0.021,0.003,0.000,0.134,0.000,0.034,0.092,0.001,0.002,0.003,0.404
0.000,0.001,0.000,0.010,0.128,0.034,0.004,0.011,0.001,0.114,0.007,0.034,0.011,0.072,0.000,0.052,0.041,0.000,0.003,0.002,0.412
0.001,0.008,0.029,0.013,0.136,0.001,0.016,0.043,0.027,0.083,0.006,0.029,0.019,0.049,0.002,0.035,0.017,0.004,0.011,0.036,0.368
0.002,0.008,0.027,0.132,0.005,0.014,0.005,0.019,0.065,0.073,0.000,0.014,0.037,0.061,0.004,0.031,0.003,0.025,0.009,0.092,0.310
0.000,0.005,0.014,0.065,0.053,0.004,0.001,0.006,0.082,0.025,0.028,0.001,0.078,0.029,0.004,0.035,0.007,0.071,0.001,0.144,0.272
0.000,0.001,0.021,0.025,0.080,0.003,0.000,0.007,0.032,0.004,0.105,0.001,0.046,0.003,0.001,0.043,0.011,0.073,0.005,0.189,0.281
0.000,0.000,0.004,0.038,0.044,0.035,0.001,0.011,0.007,0.085,0.094,0.013,0.001,0.022,0.004,0.001,0.002,0.032,0.023,0.168,0.351
0.000,0.008,0.008,0.039,0.022,0.075,0.002,0.002,0.004,0.105,0.035,0.000,0.002,0.054,0.017,0.024,0.009,0.007,0.004,0.115,0.400
0.003,0.010,0.020,0.024,0.009,0.110,0.010,0.023,0.000,0.051,0.003,0.023,0.006,0.071,0.020,0.001,0.055,0.001,0.073,0.104,0.304
0.001,0.003,0.023,0.002,0.000,0.127,0.010,0.034,0.001,0.016,0.002,0.031,0.000,0.098,0.002,0.026,0.230,0.002,0.091,0.063,0.161
0.000,0.002,0.001,0.006,0.011,0.108,0.001,0.008,0.028,0.026,0.008,0.028,0.049,0.175,0.004,0.051,0.271,0.018,0.043,0.001,0.078
0.001,0.000,0.001,0.066,0.002,0.084,0.000,0.012,0.072,0.061,0.070,0.010,0.057,0.167,0.055,0.057,0.109,0.017,0.022,0.020,0.038
0.000,0.001,0.026,0.053,0.048,0.118,0.000,0.015,0.076,0.078,0.143,0.001,0.055,0.059,0.089,0.063,0.012,0.002,0.011,0.048,0.018
0.002,0.005,0.003,0.007,0.113,0.238,0.008,0.005,0.015,0.106,0.175,0.000,0.057,0.007,0.046,0.084,0.002,0.002,0.001,0.039,0.010
0.001,0.012,0.005,0.002,0.061,0.403,0.005,0.004,0.000,0.034,0.197,0.005,0.012,0.008,0.010,0.078,0.007,0.019,0.007,0.026,0.014
0.000,0.007,0.035,0.000,0.010,0.527,0.006,0.029,0.002,0.003,0.155,0.025,0.002,0.001,0.010,0.006,0.002,0.039,0.009,0.040,0.029
0.001,0.001,0.037,0.009,0.002,0.556,0.001,0.027,0.000,0.052,0.080,0.000,0.000,0.035,0.017,0.003,0.001,0.016,0.008,0.040,0.029
0.000,0.000,0.004,0.025,0.024,0.487,0.002,0.010,0.004,0.107,0.028,0.005,0.005,0.125,0.013,0.006,0.006,0.006,0.059,0.000,0.004
0.002,0.001,0.001,0.023,0.081,0.346,0.001,0.019,0.029,0.112,0.007,0.025,0.057,0.090,0.011,0.043,0.029,0.025,0.004,0.004,0.000
0.002,0.006,0.004,0.083,0.115,0.183,0.009,0.016,0.098,0.038,0.003,0.010,0.053,0.063,0.010,0.033,0.079,0.039,0.014,0.048,0.000
0.001,0.006,0.001,0.193,0.016,0.093,0.010,0.002,0.087,0.033,0.004,0.003,0.016,0.081,0.002,0.008,0.097,0.034,0.141,0.075,0.013
0.000,0.009,0.009,0.051,0.000,0.084,0.004,0.019,0.044,0.043,0.003,0.021,0.011,0.087,0.003,0.001,0.103,0.035,0.201,0.067,0.107
0.000,0.003,0.004,0.009,0.000,0.090,0.000,0.036,0.004,0.023,0.027,0.049,0.002,0.030,0.009,0.010,0.097,0.021,0.164,0.063,0.291
0.001,0.003,0.012,0.002,0.066,0.049,0.000,0.017,0.002,0.010,0.025,0.003,0.001,0.002,0.006,0.014,0.016,0.005,0.104,0.046,0.522
0.003,0.000,0.022,0.002,0.148,0.001,0.001,0.014,0.000,0.008,0.002,0.000,0.000,0.002,0.001,0.004,0.000,0.002,0.006,0.024,0.686
0.001,0.011,0.009,0.022,0.069,0.010,0.004,0.027,0.009,0.009,0.001,0.007,0.010,0.000,0.001,0.014,0.001,0.001,0.039,0.035,0.618
0.000,0.005,0.005,0.013,0.010,0.034,0.011,0.006,0.016,0.008,0.006,0.003,0.064,0.002,0.016,0.129,0.025,0.002,0.058,0.062,0.440
0.000,0.009,0.006,0.002,0.017,0.023,0.003,0.001,0.041,0.002,0.001,0.001,0.136,0.016,0.036,0.149,0.051,0.015,0.002,0.043,0.344
0.000,0.002,0.041,0.036,0.094,0.001,0.001,0.035,0.031,0.073,0.003,0.004,0.068,0.046,0.035,0.053,0.018,0.018,0.001,0.013,0.327
0.003,0.001,0.002,0.043,0.257,0.016,0.001,0.026,0.024,0.118,0.002,0.025,0.000,0.031,0.016,0.001,0.007,0.005,0.008,0.006,0.304
0.000,0.000,0.001,0.006,0.241,0.156,0.004,0.015,0.000,0.149,0.001,0.014,0.002,0.012,0.002,0.000,0.007,0.001,0.077,0.009,0.208
0.000,0.009,0.007,0.001,0.058,0.346,0.005,0.022,0.002,0.090,0.001,0.010,0.001,0.031,0.021,0.011,0.039,0.001,0.116,0.031,0.087
0.001,0.008,0.011,0.015,0.002,0.436,0.011,0.018,0.001,0.003,0.008,0.015,0.000,0.084,0.010,0.001,0.142,0.002,0.082,0.022,0.022
0.000,0.001,0.009,0.076,0.002,0.430,0.006,0.003,0.060,0.002,0.016,0.004,0.001,0.057,0.007,0.001,0.135,0.010,0.092,0.002,0.000
0.002,0.000,0.003,0.129,0.001,0.413,0.003,0.017,0.075,0.000,0.023,0.019,0.024,0.008,0.019,0.010,0.046,0.032,0.056,0.001,0.017
0.001,0.000,0.033,0.034,0.000,0.427,0.002,0.034,0.065,0.004,0.027,0.001,0.084,0.011,0.034,0.064,0.006,0.040,0.009,0.000,0.037
0.000,0.003,0.010,0.019,0.004,0.413,0.003,0.018,0.036,0.028,0.057,0.003,0.064,0.016,0.035,0.050,0.031,0.002,0.080,0.002,0.010
0.001,0.007,0.013,0.039,0.005,0.366,0.007,0.011,0.006,0.006,0.137,0.005,0.007,0.005,0.022,0.011,0.049,0.012,0.188,0.008,0.001
0.000,0.015,0.015,0.001,0.000,0.344,0.007,0.024,0.001,0.009,0.148,0.016,0.002,0.028,0.011,0.003,0.032,0.032,0.106,0.027,0.066
0.002,0.001,0.003,0.005,0.025,0.299,0.001,0.007,0.006,0.099,0.075,0.034,0.002,0.074,0.009,0.016,0.038,0.016,0.010,0.024,0.140
0.002,0.000,0.002,0.006,0.140,0.168,0.000,0.002,0.001,0.149,0.038,0.011,0.009,0.081,0.016,0.074,0.015,0.001,0.007,0.008,0.176
0.001,0.000,0.002,0.001,0.205,0.038,0.000,0.033,0.018,0.121,0.030,0.026,0.034,0.090,0.030,0.029,0.021,0.000,0.001,0.001,0.199
0.001,0.004,0.008,0.076,0.057,0.001,0.003,0.017,0.072,0.070,0.029,0.016,0.050,0.128,0.020,0.030,0.082,0.019,0.003,0.003,0.191
0.000,0.005,0.002,0.069,0.009,0.002,0.010,0.010,0.064,0.061,0.002,0.012,0.044,0.127,0.005,0.081,0.102,0.032,0.002,0.072,0.182
0.001,0.006,0.022,0.001,0.043,0.000,0.016,0.016,0.036,0.010,0.015,0.009,0.046,0.062,0.002,0.050,0.051,0.047,0.043,0.155,0.240
0.003,0.000,0.048,0.023,0.018,0.018,0.006,0.025,0.004,0.002,0.060,0.001,0.002,0.004,0.012,0.004,0.025,0.039,0.080,0.149,0.382
0.001,0.000,0.009,0.049,0.011,0.038,0.002,0.005,0.002,0.001,0.081,0.007,0.006,0.002,0.014,0.011,0.001,0.018,0.001,0.120,0.520
0.001,0.000,0.012,0.009,0.002,0.053,0.000,0.009,0.004,0.004,0.087,0.002,0.002,0.006,0.009,0.017,0.003,0.012,0.031,0.131,0.482
0.000,0.005,0.019,0.011,0.015,0.039,0.003,0.024,0.000,0.021,0.030,0.009,0.002,0.028,0.009,0.001,0.050,0.014,0.113,0.175,0.300
0.000,0.015,0.017,0.029,0.023,0.014,0.005,0.006,0.013,0.017,0.009,0.003,0.037,0.134,0.004,0.052,0.160,0.020,0.034,0.124,0.175
0.003,0.006,0.003,0.068,0.009,0.008,0.010,0.014,0.083,0.047,0.005,0.022,0.061,0.174,0.019,0.022,0.159,0.017,0.010,0.023,0.124
0.001,0.004,0.008,0.078,0.060,0.022,0.003,0.020,0.067,0.100,0.040,0.051,0.043,0.087,0.054,0.050,0.075,0.011,0.005,0.003,0.098
0.000,0.001,0.022,0.013,0.180,0.102,0.001,0.016,0.009,0.137,0.055,0.005,0.048,0.055,0.034,0.076,0.027,0.006,0.001,0.021,0.086
