(0.27015,-0.94950),(-0.00810,0.00528),(-0.00810,0.00528),(-0.02640,-0.00826),(0.00643,-0.01971),(-0.02640,-0.00826),(-0.00810,0.00528),(-0.00810,0.00528),(-0.01751,-0.02456),(0.00209,0.00038),(-0.01751,-0.02456),(0.00810,0.00801),(0.00810,0.00801),(-0.02640,-0.00826),(0.00643,-0.01971),(-0.02640,-0.00826),(0.00810,0.00801),(0.00810,0.00801),(-0.00648,0.00830),(0.01774,-0.04875),(0.01774,-0.04875),(-0.02860,-0.00434),(-0.00206,-0.00284),(-0.02860,-0.00434),(-0.03382,0.00783),(-0.03382,0.00783),(-0.02860,-0.00434),(-0.00206,-0.00284),(-0.02860,-0.00434),(0.00091,0.00172),(0.00091,0.00172),(0.02733,-0.03011),(-0.03382,0.00783),(-0.03382,0.00783),(0.02733,-0.03011),(-0.01899,-0.01107),(0.00481,-0.00718),(-0.01899,-0.01107),(-0.00727,0.00293),(-0.00727,0.00293),(0.01077,-0.00173),(-0.00727,0.00293),(-0.00727,0.00293),(0.00630,-0.01142),(0.01077,-0.00173),(-0.00499,-0.00374),(-0.00499,-0.00374),(0.00287,0.00308),(0.00287,0.00308),(0.00278,0.00282)
(-0.00810,0.00528),(0.04739,-0.26194),(0.08441,-0.25476),(-0.00810,0.00528),(0.08441,-0.25476),(0.00643,-0.01971),(-0.13207,-0.22067),(-0.17051,0.21051),(-0.13207,-0.22067),(-0.01078,0.00036),(0.12997,0.12829),(-0.17051,0.21051),(0.12997,0.12829),(-0.01751,-0.02456),(0.12997,0.12829),(0.00810,0.00801),(0.12997,0.12829),(-0.23902,-0.18543),(0.00810,0.00801),(0.06291,0.00077),(0.01061,-0.08297),(0.06291,0.00077),(-0.03293,-0.07595),(-0.05011,0.10103),(0.01061,-0.08297),(-0.05011,0.10103),(0.23605,0.05388),(-0.00709,0.03229),(-0.07825,0.00234),(-0.00709,0.03229),(0.01026,0.02919),(-0.07825,0.00234),(-0.08862,0.18907),(-0.00505,-0.09188),(-0.00505,-0.09188),(0.21598,0.09097),(0.01914,0.00371),(0.10030,-0.00222),(0.01914,0.00371),(-0.00955,0.04467),(0.10030,-0.00222),(0.01119,0.01931),(-0.02034,-0.03335),(-0.02034,-0.03335),(0.07282,-0.00325),(0.03189,0.00989),(0.01463,-0.00286),(0.01463,-0.00286),(-0.01180,-0.04102),(0.01756,-0.00354)
(-0.00810,0.00528),(0.08441,-0.25476),(0.04739,-0.26194),(0.00643,-0.01971),(0.08441,-0.25476),(-0.00810,0.00528),(-0.17051,0.21051),(-0.13207,-0.22067),(0.12997,0.12829),(-0.01078,0.00036),(-0.13207,-0.22067),(0.12997,0.12829),(-0.17051,0.21051),(0.00810,0.00801),(0.12997,0.12829),(-0.01751,-0.02456),(-0.23902,-0.18543),(0.12997,0.12829),(0.00810,0.00801),(0.01061,-0.08297),(0.06291,0.00077),(-0.05011,0.10103),(-0.03293,-0.07595),(0.06291,0.00077),(-0.05011,0.10103),(0.01061,-0.08297),(-0.07825,0.00234),(-0.00709,0.03229),(0.23605,0.05388),(0.01026,0.02919),(-0.00709,0.03229),(-0.07825,0.00234),(-0.00505,-0.09188),(-0.08862,0.18907),(-0.00505,-0.09188),(0.10030,-0.00222),(0.01914,0.00371),(0.21598,0.09097),(-0.00955,0.04467),(0.01914,0.00371),(0.10030,-0.00222),(-0.02034,-0.03335),(0.01119,0.01931),(-0.02034,-0.03335),(0.07282,-0.00325),(0.01463,-0.00286),(0.03189,0.00989),(0.01463,-0.00286),(-0.01180,-0.04102),(0.01756,-0.00354)
(-0.02640,-0.00826),(-0.00810,0.00528),(0.00643,-0.01971),(0.27015,-0.94950),(-0.00810,0.00528),(-0.02640,-0.00826),(-0.01751,-0.02456),(0.00810,0.00801),(-0.00810,0.00528),(0.00209,0.00038),(0.00810,0.00801),(-0.00810,0.00528),(-0.01751,-0.02456),(-0.02640,-0.00826),(0.00810,0.00801),(-0.00648,0.00830),(0.00643,-0.01971),(0.00810,0.00801),(-0.02640,-0.00826),(-0.02860,-0.00434),(-0.03382,0.00783),(0.01774,-0.04875),(-0.00206,-0.00284),(-0.03382,0.00783),(0.01774,-0.04875),(-0.02860,-0.00434),(-0.02860,-0.00434),(0.00091,0.00172),(0.02733,-0.03011),(-0.00206,-0.00284),(0.00091,0.00172),(-0.02860,-0.00434),(-0.03382,0.00783),(0.02733,-0.03011),(-0.03382,0.00783),(-0.01899,-0.01107),(-0.00727,0.00293),(0.01077,-0.00173),(0.00481,-0.00718),(-0.00727,0.00293),(-0.01899,-0.01107),(-0.00727,0.00293),(0.00630,-0.01142),(-0.00727,0.00293),(0.01077,-0.00173),(-0.00499,-0.00374),(0.00287,0.00308),(-0.00499,-0.00374),(0.00287,0.00308),(0.00278,0.00282)
(0.00643,-0.01971),(0.08441,-0.25476),(0.08441,-0.25476),(-0.00810,0.00528),(0.04739,-0.26194),(-0.00810,0.00528),(0.12997,0.12829),(0.12997,0.12829),(-0.17051,0.21051),(-0.01078,0.00036),(-0.17051,0.21051),(-0.13207,-0.22067),(-0.13207,-0.22067),(0.00810,0.00801),(-0.23902,-0.18543),(0.00810,0.00801),(0.12997,0.12829),(0.12997,0.12829),(-0.01751,-0.02456),(-0.05011,0.10103),(-0.05011,0.10103),(0.01061,-0.08297),(-0.03293,-0.07595),(0.01061,-0.08297),(0.06291,0.00077),(0.06291,0.00077),(-0.07825,0.00234),(0.01026,0.02919),(-0.07825,0.00234),(-0.00709,0.03229),(-0.00709,0.03229),(0.23605,0.05388),(-0.00505,-0.09188),(-0.00505,-0.09188),(-0.08862,0.18907),(0.10030,-0.00222),(-0.00955,0.04467),(0.10030,-0.00222),(0.01914,0.00371),(0.01914,0.00371),(0.21598,0.09097),(-0.02034,-0.03335),(-0.02034,-0.03335),(0.01119,0.01931),(0.07282,-0.00325),(0.01463,-0.00286),(0.01463,-0.00286),(0.03189,0.00989),(-0.01180,-0.04102),(0.01756,-0.00354)
(-0.02640,-0.00826),(0.00643,-0.01971),(-0.00810,0.00528),(-0.02640,-0.00826),(-0.00810,0.00528),(0.27015,-0.94950),(0.00810,0.00801),(-0.01751,-0.02456),(0.00810,0.00801),(0.00209,0.00038),(-0.00810,0.00528),(-0.01751,-0.02456),(-0.00810,0.00528),(-0.00648,0.00830),(0.00810,0.00801),(-0.02640,-0.00826),(0.00810,0.00801),(0.00643,-0.01971),(-0.02640,-0.00826),(-0.03382,0.00783),(-0.02860,-0.00434),(-0.03382,0.00783),(-0.00206,-0.00284),(0.01774,-0.04875),(-0.02860,-0.00434),(0.01774,-0.04875),(0.02733,-0.03011),(0.00091,0.00172),(-0.02860,-0.00434),(0.00091,0.00172),(-0.00206,-0.00284),(-0.02860,-0.00434),(0.02733,-0.03011),(-0.03382,0.00783),(-0.03382,0.00783),(0.01077,-0.00173),(-0.00727,0.00293),(-0.01899,-0.01107),(-0.00727,0.00293),(0.00481,-0.00718),(-0.01899,-0.01107),(0.00630,-0.01142),(-0.00727,0.00293),(-0.00727,0.00293),(0.01077,-0.00173),(0.00287,0.00308),(-0.00499,-0.00374),(-0.00499,-0.00374),(0.00287,0.00308),(0.00278,0.00282)
(-0.00810,0.00528),(-0.13207,-0.22067),(-0.17051,0.21051),(-0.01751,-0.02456),(0.12997,0.12829),(0.00810,0.00801),(0.04739,-0.26194),(0.08441,-0.25476),(-0.13207,-0.22067),(-0.01078,0.00036),(0.12997,0.12829),(0.12997,0.12829),(-0.23902,-0.18543),(-0.00810,0.00528),(0.08441,-0.25476),(0.00643,-0.01971),(-0.17051,0.21051),(0.12997,0.12829),(0.00810,0.00801),(0.06291,0.00077),(0.01061,-0.08297),(0.23605,0.05388),(-0.00709,0.03229),(-0.07825,0.00234),(-0.08862,0.18907),(-0.00505,-0.09188),(0.06291,0.00077),(-0.03293,-0.07595),(-0.05011,0.10103),(-0.00709,0.03229),(0.01026,0.02919),(-0.00505,-0.09188),(0.01061,-0.08297),(-0.05011,0.10103),(-0.07825,0.00234),(0.21598,0.09097),(0.01914,0.00371),(0.10030,-0.00222),(0.01119,0.01931),(-0.02034,-0.03335),(0.07282,-0.00325),(0.01914,0.00371),(-0.00955,0.04467),(-0.02034,-0.03335),(0.10030,-0.00222),(0.03189,0.00989),(0.01463,-0.00286),(-0.01180,-0.04102),(0.01463,-0.00286),(0.01756,-0.00354)
(-0.00810,0.00528),(-0.17051,0.21051),(-0.13207,-0.22067),(0.00810,0.00801),(0.12997,0.12829),(-0.01751,-0.02456),(0.08441,-0.25476),(0.04739,-0.26194),(0.12997,0.12829),(-0.01078,0.00036),(-0.13207,-0.22067),(-0.23902,-0.18543),(0.12997,0.12829),(0.00643,-0.01971),(0.08441,-0.25476),(-0.00810,0.00528),(0.12997,0.12829),(-0.17051,0.21051),(0.00810,0.00801),(0.01061,-0.08297),(0.06291,0.00077),(-0.07825,0.00234),(-0.00709,0.03229),(0.23605,0.05388),(-0.00505,-0.09188),(-0.08862,0.18907),(-0.05011,0.10103),(-0.03293,-0.07595),(0.06291,0.00077),(0.01026,0.02919),(-0.00709,0.03229),(-0.00505,-0.09188),(-0.05011,0.10103),(0.01061,-0.08297),(-0.07825,0.00234),(0.10030,-0.00222),(0.01914,0.00371),(0.21598,0.09097),(-0.02034,-0.03335),(0.01119,0.01931),(0.07282,-0.00325),(-0.00955,0.04467),(0.01914,0.00371),(-0.02034,-0.03335),(0.10030,-0.00222),(0.01463,-0.00286),(0.03189,0.00989),(-0.01180,-0.04102),(0.01463,-0.00286),(0.01756,-0.00354)
(-0.01751,-0.02456),(-0.13207,-0.22067),(0.12997,0.12829),(-0.00810,0.00528),(-0.17051,0.21051),(0.00810,0.00801),(-0.13207,-0.22067),(0.12997,0.12829),(0.04739,-0.26194),(-0.01078,0.00036),(-0.23902,-0.18543),(0.08441,-0.25476),(0.12997,0.12829),(-0.00810,0.00528),(-0.17051,0.21051),(0.00810,0.00801),(0.08441,-0.25476),(0.12997,0.12829),(0.00643,-0.01971),(0.23605,0.05388),(-0.08862,0.18907),(0.06291,0.00077),(-0.00709,0.03229),(-0.00505,-0.09188),(0.01061,-0.08297),(-0.07825,0.00234),(0.06291,0.00077),(-0.00709,0.03229),(-0.00505,-0.09188),(-0.03293,-0.07595),(0.01026,0.02919),(-0.05011,0.10103),(0.01061,-0.08297),(-0.07825,0.00234),(-0.05011,0.10103),(0.21598,0.09097),(0.01119,0.01931),(0.07282,-0.00325),(0.01914,0.00371),(-0.02034,-0.03335),(0.10030,-0.00222),(0.01914,0.00371),(-0.02034,-0.03335),(-0.00955,0.04467),(0.10030,-0.00222),(0.03189,0.00989),(-0.01180,-0.04102),(0.01463,-0.00286),(0.01463,-0.00286),(0.01756,-0.00354)
(0.00209,0.00038),(-0.01078,0.00036),(-0.01078,0.00036),(0.00209,0.00038),(-0.01078,0.00036),(0.00209,0.00038),(-0.01078,0.00036),(-0.01078,0.00036),(-0.01078,0.00036),(-0.33355,-0.77487),(-0.01078,0.00036),(-0.01078,0.00036),(-0.01078,0.00036),(0.00209,0.00038),(-0.01078,0.00036),(0.00209,0.00038),(-0.01078,0.00036),(-0.01078,0.00036),(0.00209,0.00038),(-0.02143,-0.00431),(-0.02143,-0.00431),(-0.02143,-0.00431),(0.11080,0.00964),(-0.02143,-0.00431),(-0.02143,-0.00431),(-0.02143,-0.00431),(-0.02143,-0.00431),(0.11080,0.00964),(-0.02143,-0.00431),(0.11080,0.00964),(0.11080,0.00964),(-0.02143,-0.00431),(-0.02143,-0.00431),(-0.02143,-0.00431),(-0.02143,-0.00431),(0.01704,-0.00486),(0.14962,0.03247),(0.01704,-0.00486),(0.14962,0.03247),(0.14962,0.03247),(0.01704,-0.00486),(0.14962,0.03247),(0.14962,0.03247),(0.14962,0.03247),(0.01704,-0.00486),(-0.04817,0.01368),(-0.04817,0.01368),(-0.04817,0.01368),(-0.04817,0.01368),(-0.21593,0.18206)
(-0.01751,-0.02456),(0.12997,0.12829),(-0.13207,-0.22067),(0.00810,0.00801),(-0.17051,0.21051),(-0.00810,0.00528),(0.12997,0.12829),(-0.13207,-0.22067),(-0.23902,-0.18543),(-0.01078,0.00036),(0.04739,-0.26194),(0.12997,0.12829),(0.08441,-0.25476),(0.00810,0.00801),(-0.17051,0.21051),(-0.00810,0.00528),(0.12997,0.12829),(0.08441,-0.25476),(0.00643,-0.01971),(-0.08862,0.18907),(0.23605,0.05388),(-0.00505,-0.09188),(-0.00709,0.03229),(0.06291,0.00077),(-0.07825,0.00234),(0.01061,-0.08297),(-0.00505,-0.09188),(-0.00709,0.03229),(0.06291,0.00077),(0.01026,0.02919),(-0.03293,-0.07595),(-0.05011,0.10103),(-0.07825,0.00234),(0.01061,-0.08297),(-0.05011,0.10103),(0.07282,-0.00325),(0.01119,0.01931),(0.21598,0.09097),(-0.02034,-0.03335),(0.01914,0.00371),(0.10030,-0.00222),(-0.02034,-0.03335),(0.01914,0.00371),(-0.00955,0.04467),(0.10030,-0.00222),(-0.01180,-0.04102),(0.03189,0.00989),(0.01463,-0.00286),(0.01463,-0.00286),(0.01756,-0.00354)
(0.00810,0.00801),(-0.17051,0.21051),(0.12997,0.12829),(-0.00810,0.00528),(-0.13207,-0.22067),(-0.01751,-0.02456),(0.12997,0.12829),(-0.23902,-0.18543),(0.08441,-0.25476),(-0.01078,0.00036),(0.12997,0.12829),(0.04739,-0.26194),(-0.13207,-0.22067),(0.00643,-0.01971),(0.12997,0.12829),(0.00810,0.00801),(0.08441,-0.25476),(-0.17051,0.21051),(-0.00810,0.00528),(-0.07825,0.00234),(-0.00505,-0.09188),(0.01061,-0.08297),(-0.00709,0.03229),(-0.08862,0.18907),(0.06291,0.00077),(0.23605,0.05388),(-0.05011,0.10103),(0.01026,0.02919),(-0.00505,-0.09188),(-0.03293,-0.07595),(-0.00709,0.03229),(0.06291,0.00077),(-0.05011,0.10103),(-0.07825,0.00234),(0.01061,-0.08297),(0.10030,-0.00222),(-0.02034,-0.03335),(0.07282,-0.00325),(0.01914,0.00371),(0.01119,0.01931),(0.21598,0.09097),(-0.00955,0.04467),(-0.02034,-0.03335),(0.01914,0.00371),(0.10030,-0.00222),(0.01463,-0.00286),(-0.01180,-0.04102),(0.03189,0.00989),(0.01463,-0.00286),(0.01756,-0.00354)
(0.00810,0.00801),(0.12997,0.12829),(-0.17051,0.21051),(-0.01751,-0.02456),(-0.13207,-0.22067),(-0.00810,0.00528),(-0.23902,-0.18543),(0.12997,0.12829),(0.12997,0.12829),(-0.01078,0.00036),(0.08441,-0.25476),(-0.13207,-0.22067),(0.04739,-0.26194),(0.00810,0.00801),(0.12997,0.12829),(0.00643,-0.01971),(-0.17051,0.21051),(0.08441,-0.25476),(-0.00810,0.00528),(-0.00505,-0.09188),(-0.07825,0.00234),(-0.08862,0.18907),(-0.00709,0.03229),(0.01061,-0.08297),(0.23605,0.05388),(0.06291,0.00077),(-0.00505,-0.09188),(0.01026,0.02919),(-0.05011,0.10103),(-0.00709,0.03229),(-0.03293,-0.07595),(0.06291,0.00077),(-0.07825,0.00234),(-0.05011,0.10103),(0.01061,-0.08297),(0.07282,-0.00325),(-0.02034,-0.03335),(0.10030,-0.00222),(0.01119,0.01931),(0.01914,0.00371),(0.21598,0.09097),(-0.02034,-0.03335),(-0.00955,0.04467),(0.01914,0.00371),(0.10030,-0.00222),(-0.01180,-0.04102),(0.01463,-0.00286),(0.03189,0.00989),(0.01463,-0.00286),(0.01756,-0.00354)
(-0.02640,-0.00826),(-0.01751,-0.02456),(0.00810,0.00801),(-0.02640,-0.00826),(0.00810,0.00801),(-0.00648,0.00830),(-0.00810,0.00528),(0.00643,-0.01971),(-0.00810,0.00528),(0.00209,0.00038),(0.00810,0.00801),(0.00643,-0.01971),(0.00810,0.00801),(0.27015,-0.94950),(-0.00810,0.00528),(-0.02640,-0.00826),(-0.00810,0.00528),(-0.01751,-0.02456),(-0.02640,-0.00826),(-0.02860,-0.00434),(-0.03382,0.00783),(-0.02860,-0.00434),(0.00091,0.00172),(0.02733,-0.03011),(-0.03382,0.00783),(0.02733,-0.03011),(0.01774,-0.04875),(-0.00206,-0.00284),(-0.03382,0.00783),(-0.00206,-0.00284),(0.00091,0.00172),(-0.03382,0.00783),(0.01774,-0.04875),(-0.02860,-0.00434),(-0.02860,-0.00434),(-0.01899,-0.01107),(-0.00727,0.00293),(0.01077,-0.00173),(-0.00727,0.00293),(0.00630,-0.01142),(0.01077,-0.00173),(0.00481,-0.00718),(-0.00727,0.00293),(-0.00727,0.00293),(-0.01899,-0.01107),(-0.00499,-0.00374),(0.00287,0.00308),(0.00287,0.00308),(-0.00499,-0.00374),(0.00278,0.00282)
(0.00643,-0.01971),(0.12997,0.12829),(0.12997,0.12829),(0.00810,0.00801),(-0.23902,-0.18543),(0.00810,0.00801),(0.08441,-0.25476),(0.08441,-0.25476),(-0.17051,0.21051),(-0.01078,0.00036),(-0.17051,0.21051),(0.12997,0.12829),(0.12997,0.12829),(-0.00810,0.00528),(0.04739,-0.26194),(-0.00810,0.00528),(-0.13207,-0.22067),(-0.13207,-0.22067),(-0.01751,-0.02456),(-0.05011,0.10103),(-0.05011,0.10103),(-0.07825,0.00234),(0.01026,0.02919),(-0.07825,0.00234),(-0.00505,-0.09188),(-0.00505,-0.09188),(0.01061,-0.08297),(-0.03293,-0.07595),(0.01061,-0.08297),(-0.00709,0.03229),(-0.00709,0.03229),(-0.08862,0.18907),(0.06291,0.00077),(0.06291,0.00077),(0.23605,0.05388),(0.10030,-0.00222),(-0.00955,0.04467),(0.10030,-0.00222),(-0.02034,-0.03335),(-0.02034,-0.03335),(0.07282,-0.00325),(0.01914,0.00371),(0.01914,0.00371),(0.01119,0.01931),(0.21598,0.09097),(0.01463,-0.00286),(0.01463,-0.00286),(-0.01180,-0.04102),(0.03189,0.00989),(0.01756,-0.00354)
(-0.02640,-0.00826),(0.00810,0.00801),(-0.01751,-0.02456),(-0.00648,0.00830),(0.00810,0.00801),(-0.02640,-0.00826),(0.00643,-0.01971),(-0.00810,0.00528),(0.00810,0.00801),(0.00209,0.00038),(-0.00810,0.00528),(0.00810,0.00801),(0.00643,-0.01971),(-0.02640,-0.00826),(-0.00810,0.00528),(0.27015,-0.94950),(-0.01751,-0.02456),(-0.00810,0.00528),(-0.02640,-0.00826),(-0.03382,0.00783),(-0.02860,-0.00434),(0.02733,-0.03011),(0.00091,0.00172),(-0.02860,-0.00434),(0.02733,-0.03011),(-0.03382,0.00783),(-0.03382,0.00783),(-0.00206,-0.00284),(0.01774,-0.04875),(0.00091,0.00172),(-0.00206,-0.00284),(-0.03382,0.00783),(-0.02860,-0.00434),(0.01774,-0.04875),(-0.02860,-0.00434),(0.01077,-0.00173),(-0.00727,0.00293),(-0.01899,-0.01107),(0.00630,-0.01142),(-0.00727,0.00293),(0.01077,-0.00173),(-0.00727,0.00293),(0.00481,-0.00718),(-0.00727,0.00293),(-0.01899,-0.01107),(0.00287,0.00308),(-0.00499,-0.00374),(0.00287,0.00308),(-0.00499,-0.00374),(0.00278,0.00282)
